Day,snap_shot,location,location_abbr,cases,Source
2022-06-28,2022-06-28 22:39:00,Nebraska,NE,1,CDC
2022-06-28,2022-06-28 22:39:00,Nevada,NV,2,CDC
2022-06-28,2022-06-28 22:39:00,New Jersey,NJ,2,CDC
2022-06-28,2022-06-28 22:39:00,New York,NY,63,CDC
2022-06-28,2022-06-28 22:39:00,North Carolina,NC,2,CDC
2022-06-28,2022-06-28 22:39:00,Ohio,OH,2,CDC
2022-06-28,2022-06-28 22:39:00,Oklahoma,OK,2,CDC
2022-06-28,2022-06-28 22:39:00,Oregon,OR,1,CDC
2022-06-28,2022-06-28 22:39:00,Pennsylvania,PA,4,CDC
2022-06-28,2022-06-28 22:39:00,Rhode Island,RI,1,CDC
2022-06-28,2022-06-28 22:39:00,Texas,TX,7,CDC
2022-06-28,2022-06-28 22:39:00,Utah,UT,4,CDC
2022-06-28,2022-06-28 22:39:00,Virginia,VA,3,CDC
2022-06-28,2022-06-28 22:39:00,Washington,WA,6,CDC
2022-06-28,2022-06-28 22:39:00,Non U.S. resident in the U.S.,Non U.S. resident in the U.S.,2,CDC
2022-06-29,2022-06-29 23:37:50,Arizona,AZ,1,CDC
2022-06-29,2022-06-29 23:37:50,California,CA,66,CDC
2022-06-29,2022-06-29 23:37:50,Colorado,CO,7,CDC
2022-06-29,2022-06-29 23:37:50,District of Columbia,DC,20,CDC
2022-06-29,2022-06-29 23:37:50,Florida,FL,27,CDC
2022-06-29,2022-06-29 23:37:50,Georgia,GA,7,CDC
2022-06-29,2022-06-29 23:37:50,Hawaii,HI,6,CDC
2022-06-29,2022-06-29 23:37:50,Illinois,IL,45,CDC
2022-06-29,2022-06-29 23:37:50,Indiana,IN,2,CDC
2022-06-29,2022-06-29 23:37:50,Kentucky,KY,1,CDC
2022-06-29,2022-06-29 23:37:50,Maryland,MD,5,CDC
2022-06-29,2022-06-29 23:37:50,Massachusetts,MA,13,CDC
2022-06-29,2022-06-29 23:37:50,Minnesota,MN,2,CDC
2022-06-29,2022-06-29 23:37:50,Missouri,MO,2,CDC
2022-06-29,2022-06-29 23:37:50,Nebraska,NE,1,CDC
2022-06-29,2022-06-29 23:37:50,Nevada,NV,2,CDC
2022-06-29,2022-06-29 23:37:50,New Jersey,NJ,2,CDC
2022-06-29,2022-06-29 23:37:50,New York,NY,63,CDC
2022-06-29,2022-06-29 23:37:50,North Carolina,NC,2,CDC
2022-06-29,2022-06-29 23:37:50,Ohio,OH,2,CDC
2022-06-29,2022-06-29 23:37:50,Oklahoma,OK,2,CDC
2022-06-29,2022-06-29 23:37:50,Oregon,OR,1,CDC
2022-06-29,2022-06-29 23:37:50,Pennsylvania,PA,4,CDC
2022-06-29,2022-06-29 23:37:50,Rhode Island,RI,1,CDC
2022-06-29,2022-06-29 23:37:50,Texas,TX,7,CDC
2022-06-29,2022-06-29 23:37:50,Utah,UT,4,CDC
2022-06-29,2022-06-29 23:37:50,Virginia,VA,3,CDC
2022-06-29,2022-06-29 23:37:50,Washington,WA,6,CDC
