time_stamp,snap_shot,State,Abbr,Cases,Range
2022-06-16,2022-06-16 23 24 03,Oregon,OR,1,1 to 2
2022-06-16,2022-06-16 23 24 03,Pennsylvania,PA,2,1 to 2
2022-06-16,2022-06-16 23 24 03,Rhode Island,RI,1,1 to 2
2022-06-16,2022-06-16 23 24 03,Texas,TX,2,1 to 2
2022-06-16,2022-06-16 23 24 03,Utah,UT,2,1 to 2
2022-06-16,2022-06-16 23 24 03,Virginia,VA,1,1 to 2
2022-06-16,2022-06-16 23 24 03,Washington,WA,2,1 to 2
2022-06-16,2022-06-16 23 24 03,Non U.S. resident in the U.S.,Non U.S. resident in the U.S.,1,1 to 2
2022-06-28,2022-06-28 22 39 00,Arizona,AZ,1,1 to 2
2022-06-28,2022-06-28 22 39 00,California,CA,66,1 to 2
2022-06-28,2022-06-28 22 39 00,Colorado,CO,7,1 to 2
2022-06-28,2022-06-28 22 39 00,District of Columbia,DC,20,1 to 2
2022-06-28,2022-06-28 22 39 00,Florida,FL,27,1 to 2
2022-06-28,2022-06-28 22 39 00,Georgia,GA,7,1 to 2
2022-06-28,2022-06-28 22 39 00,Hawaii,HI,6,1 to 2
2022-06-28,2022-06-28 22 39 00,Illinois,IL,45,1 to 2
2022-06-28,2022-06-28 22 39 00,Indiana,IN,2,1 to 2
2022-06-28,2022-06-28 22 39 00,Kentucky,KY,1,1 to 2
2022-06-28,2022-06-28 22 39 00,Maryland,MD,5,1 to 2
2022-06-28,2022-06-28 22 39 00,Massachusetts,MA,13,1 to 2
2022-06-28,2022-06-28 22 39 00,Minnesota,MN,2,1 to 2
2022-06-28,2022-06-28 22 39 00,Missouri,MO,2,1 to 2
2022-06-28,2022-06-28 22 39 00,Nebraska,NE,1,1 to 2
2022-06-28,2022-06-28 22 39 00,Nevada,NV,2,1 to 2
2022-06-28,2022-06-28 22 39 00,New Jersey,NJ,2,1 to 2
2022-06-28,2022-06-28 22 39 00,New York,NY,63,1 to 2
2022-06-28,2022-06-28 22 39 00,North Carolina,NC,2,1 to 2
2022-06-28,2022-06-28 22 39 00,Ohio,OH,2,1 to 2
2022-06-28,2022-06-28 22 39 00,Oklahoma,OK,2,1 to 2
2022-06-28,2022-06-28 22 39 00,Oregon,OR,1,1 to 2
2022-06-28,2022-06-28 22 39 00,Pennsylvania,PA,4,1 to 2
